RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,FPTS/PPR,FPTS/G-PPR,OWN
209,Cary Angeline (ARI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
210,Matt Bushman (LV) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
211,Artayvious Lynn (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
212,Jack Stoll (PHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
213,Sammis Reyes (WAS) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
214,Carson Williams (LV) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
215,Jacob Harris (LAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,1.20%
216,Josh Pederson (SF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
217,Bruno Labelle (ARI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
218,Scooter Harrington (CHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
219,Briley Moore (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
220,Brock Wright (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
221,Dylan Soehner (NO) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
222,Nick Ralston (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
